level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3870	2160	-1	
2	1	1	0	0	0	0	0	3870	2066	-1	
3	1	1	1	0	0	0	0	3870	2066	-1	
4	1	1	1	1	0	0	0	3674	146	-1	
5	1	1	1	1	1	0	0	98	83	37.490200	~
5	1	1	1	1	2	1512	0	67	146	45.633881	a
5	1	1	1	1	3	3516	0	158	65	11.449463	“a
5	1	1	1	1	4	3764	0	68	78	24.008514	si
4	1	1	1	2	0	369	423	3400	197	-1	
5	1	1	1	2	1	369	586	68	20	80.662735	al
5	1	1	1	2	2	488	506	27	56	87.994644	\
5	1	1	1	2	3	569	487	117	100	60.163887	GA
5	1	1	1	2	4	734	504	57	103	0.000000	Sw
5	1	1	1	2	5	925	539	31	54	0.000000	-.
5	1	1	1	2	6	1012	507	283	53	70.031158	Healthcare
5	1	1	1	2	7	1370	528	8	4	0.000000	lua
5	1	1	1	2	8	1422	536	73	65	40.230080	Sa
5	1	1	1	2	9	1519	489	122	102	34.448235	50.
5	1	1	1	2	10	1682	549	46	49	57.654022	4
5	1	1	1	2	11	1803	481	32	113	1.471939	}
5	1	1	1	2	12	1888	423	194	194	30.822418	me
5	1	1	1	2	13	2138	495	74	125	48.686031	fe
5	1	1	1	2	14	2315	503	21	33	21.894333	»
5	1	1	1	2	15	2386	504	67	104	53.847561	\f
5	1	1	1	2	16	2492	503	60	102	55.776779	4
5	1	1	1	2	17	2765	519	19	17	46.210552	—
5	1	1	1	2	18	2845	512	116	53	80.745407	|Real
5	1	1	1	2	19	2982	514	191	65	32.163223	Estate
5	1	1	1	2	20	3155	500	28	83	32.163223	&
5	1	1	1	2	21	3326	433	346	170	50.944275	m7
5	1	1	1	2	22	3745	510	24	33	49.273422	a
4	1	1	1	3	0	374	551	3496	109	-1	
5	1	1	1	3	1	374	608	79	13	67.636520	—
5	1	1	1	3	2	1283	610	68	19	67.539597	—
5	1	1	1	3	3	1486	606	24	30	32.850433	Nee
5	1	1	1	3	4	1703	613	14	2	31.987740	9
5	1	1	1	3	5	1835	586	11	31	33.255669	Ge
5	1	1	1	3	6	1979	607	173	30	35.981224	eileen
5	1	1	1	3	7	2313	625	5	19	0.000000	Eb
5	1	1	1	3	8	2532	629	6	5	0.000000	\0
5	1	1	1	3	9	2659	627	6	4	6.291039	9
5	1	1	1	3	10	2778	560	73	79	0.000000	a||
5	1	1	1	3	11	2867	571	358	64	17.452652	Construction
5	1	1	1	3	12	3249	624	46	7	0.000000	_°
5	1	1	1	3	13	3375	599	30	17	6.690529	S
5	1	1	1	3	14	3780	562	1	88	90.556656	|
5	1	1	1	3	15	3841	551	29	90	28.575569	l
4	1	1	1	4	0	161	700	3699	66	-1	
5	1	1	1	4	1	161	708	50	10	2.700882	—
5	1	1	1	4	2	332	725	140	27	41.819046	——.
5	1	1	1	4	3	604	705	206	55	49.271221	ervices
5	1	1	1	4	4	1082	709	164	47	18.139259	NS)
5	1	1	1	4	5	1759	728	14	16	0.000000	\
5	1	1	1	4	6	2025	730	101	25	43.661057	my
5	1	1	1	4	7	2220	716	2	3	49.622017	i,
5	1	1	1	4	8	2280	711	8	3	29.511948	/
5	1	1	1	4	9	2517	700	103	59	0.000000	_—
5	1	1	1	4	10	2716	724	18	32	76.269325	=
5	1	1	1	4	11	2875	700	200	57	0.000000	Z|
5	1	1	1	4	12	3144	703	104	58	31.108582	ee)
5	1	1	1	4	13	3321	702	147	64	90.448563	Public
5	1	1	1	4	14	3516	707	157	47	78.642273	Sector
5	1	1	1	4	15	3754	709	106	22	46.695457	2=—__
4	1	1	1	5	0	243	1081	3510	80	-1	
5	1	1	1	5	1	140	1089	410	63	28.625801	ee
5	1	1	1	5	2	978	1109	38	20	30.056656	es
5	1	1	1	5	3	1095	1136	12	19	47.347065	(
5	1	1	1	5	4	1257	1090	554	55	25.355232	wart
5	1	1	1	5	5	2212	1083	422	65	18.396538	ee
5	1	1	1	5	6	2918	1088	60	73	22.484329	Ze
5	1	1	1	5	7	3438	1081	315	76	28.822937	eee
4	1	1	1	6	0	61	1157	3679	208	-1	
5	1	1	1	6	1	61	1258	4	86	88.606659	|
5	1	1	1	6	2	239	1266	30	38	64.413437	=
5	1	1	1	6	3	391	1241	54	67	54.319931	=
5	1	1	1	6	4	695	1215	27	37	0.094803	;
5	1	1	1	6	5	784	1205	108	118	35.543564	=
5	1	1	1	6	6	938	1193	170	135	48.322559	zm
5	1	1	1	6	7	1208	1183	188	119	56.501926	=
5	1	1	1	6	8	1508	1157	141	161	47.004219	i:
5	1	1	1	6	9	1683	1253	37	56	0.000000	.
5	1	1	1	6	10	1848	1226	141	139	28.409866	A
5	1	1	1	6	11	2586	1169	274	171	0.000000	A
5	1	1	1	6	12	2984	1244	249	82	18.057632	a
5	1	1	1	6	13	3320	1215	146	115	36.099365	>.
5	1	1	1	6	14	3499	1254	72	77	5.471161	kc
4	1	1	1	7	0	240	1262	3430	144	-1	
5	1	1	1	7	1	240	1330	29	7	86.027534	=
5	1	1	1	7	2	311	1308	157	63	0.175980	tie
5	1	1	1	7	3	576	1303	320	61	38.685246	(surance
5	1	1	1	7	4	956	1310	9	29	19.334991	aa
5	1	1	1	7	5	1136	1347	16	9	38.876270	“
5	1	1	1	7	6	1250	1291	163	95	64.808334	SS
5	1	1	1	7	7	1614	1348	8	7	57.779701	.
5	1	1	1	7	8	1762	1309	215	58	16.436890	eee
5	1	1	1	7	9	2076	1320	36	44	80.266220	|
5	1	1	1	7	10	2289	1311	59	14	35.963730	a
5	1	1	1	7	11	2626	1315	8	5	0.000000	-
5	1	1	1	7	12	2665	1262	204	144	0.000000	Zi
5	1	1	1	7	13	2915	1288	46	87	32.698181	~S
5	1	1	1	7	14	2988	1311	366	76	11.084122	oo
5	1	1	1	7	15	3377	1293	131	95	30.894234	aol
5	1	1	1	7	16	3629	1346	41	5	41.628117	x
4	1	1	1	8	0	501	1387	3369	247	-1	
5	1	1	1	8	1	273	1439	59	33	0.000000	”
5	1	1	1	8	2	501	1448	567	121	44.566147	a’.
5	1	1	1	8	3	1370	1473	61	78	0.000000	y
5	1	1	1	8	4	1591	1403	759	231	18.281403	pa
5	1	1	1	8	5	2490	1442	54	43	79.190453	Z
5	1	1	1	8	6	2713	1387	225	193	0.000000	oO.
5	1	1	1	8	7	2980	1427	369	84	45.513893	—~S
5	1	1	1	8	8	3707	1463	163	59	73.793541	—
4	1	1	1	9	0	0	1531	3863	199	-1	
5	1	1	1	9	1	0	1585	468	115	32.145996	ee
5	1	1	1	9	2	876	1545	43	94	40.377636	aw
5	1	1	1	9	3	1155	1531	122	155	73.648384	—
5	1	1	1	9	4	1583	1534	194	145	38.588318	A
5	1	1	1	9	5	1863	1527	156	207	23.979614	a
5	1	1	1	9	6	2173	1600	1	60	31.921288	©
5	1	1	1	9	7	2415	1532	397	198	10.221825	hose
5	1	1	1	9	8	2813	1591	585	108	15.822456	Sx
4	1	1	1	10	0	232	1686	2895	234	-1	
